year,PAK,ROK,IRN,SWZ,SIC,FRN,TAW,POR,SPN,IRQ,IND,EGY,GFR,GMY,BEL,JPN,ITA,INS,AUL,RUS,PRK,DRV,UKG,AUH,USA,GRC,NTH,CZE,BAV,SWD,CHN,DEN,RVN,YUG,TUR,ETH,POL,CAN,BUL,ROM,MYA
1816,0.0,0.0,0.0,0,27.0,132.0,0.0,22.0,125,0.0,0.0,0.0,0.0,130.0,0.0,0.0,19.0,0.0,0.0,800.0,0.0,0.0,255.0,222.0,17,0.0,26.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
1817,0.0,0.0,0.0,0,27.0,131.0,0.0,22.0,126,0.0,0.0,0.0,0.0,130.0,0.0,0.0,39.0,0.0,0.0,700.0,0.0,0.0,190.0,202.0,15,0.0,27.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
1818,0.0,0.0,0.0,0,27.0,138.0,0.0,22.0,126,0.0,0.0,0.0,0.0,130.0,0.0,0.0,39.0,0.0,0.0,600.0,0.0,0.0,173.0,182.0,14,0.0,27.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
1819,0.0,0.0,0.0,0,35.0,182.0,0.0,22.0,127,0.0,0.0,0.0,0.0,130.0,0.0,0.0,39.0,0.0,0.0,596.0,0.0,0.0,143.0,242.0,13,0.0,27.0,0.0,0.0,54.0,0.0,29.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0,42.0,208.0,0.0,22.0,146,0.0,0.0,0.0,0.0,130.0,0.0,0.0,41.0,0.0,0.0,772.0,0.0,0.0,144.0,258.0,15,0.0,27.0,0.0,0.0,51.75,0.0,28.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
1821,0.0,0.0,0.0,0,49.0,198.0,0.0,22.0,165,0.0,0.0,0.0,0.0,130.0,0.0,0.0,43.0,0.0,0.0,949.0,0.0,0.0,139.0,273.0,11,0.0,27.0,0.0,0.0,49.5,0.0,26.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
1822,0.0,0.0,0.0,0,55.0,243.0,0.0,25.0,158,0.0,0.0,0.0,0.0,130.0,0.0,0.0,56.0,0.0,0.0,1001.0,0.0,0.0,125.0,273.0,10,0.0,27.0,0.0,0.0,47.25,0.0,28.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
1823,0.0,0.0,0.0,0,53.0,256.0,0.0,27.0,114,0.0,0.0,0.0,0.0,130.0,0.0,0.0,19.0,0.0,0.0,684.0,0.0,0.0,125.0,272.0,11,0.0,28.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
1824,0.0,0.0,0.0,0,33.0,239.0,0.0,32.0,93,0.0,0.0,0.0,0.0,130.0,0.0,0.0,27.0,0.0,0.0,1032.0,0.0,0.0,132.0,273.0,11,0.0,28.0,0.0,0.0,45.0,0.0,41.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
1825,0.0,0.0,0.0,0,33.0,237.0,0.0,31.0,93,0.0,0.0,0.0,0.0,130.0,0.0,0.0,27.0,0.0,0.0,860.0,0.0,0.0,132.0,273.0,11,0.0,28.0,0.0,0.0,45.0,0.0,41.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
1826,0.0,0.0,0.0,0,33.0,237.0,0.0,32.0,92,0.0,0.0,0.0,0.0,130.0,0.0,0.0,27.0,0.0,0.0,578.0,0.0,0.0,149.0,273.0,12,0.0,28.0,0.0,0.0,45.0,0.0,41.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
1827,0.0,0.0,0.0,0,34.0,237.0,0.0,26.0,92,0.0,0.0,0.0,0.0,130.0,0.0,0.0,27.0,0.0,0.0,675.0,0.0,0.0,155.0,273.0,12,0.0,29.0,0.0,0.0,45.0,0.0,41.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
1828,0.0,0.0,0.0,0,31.0,247.0,0.0,42.0,91,0.0,0.0,0.0,0.0,130.0,0.0,0.0,31.0,0.0,0.0,624.0,0.0,0.0,155.0,273.0,11,5.0,29.0,0.0,54.0,45.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,0.0,0.0,0.0,0,33.0,265.0,0.0,42.0,87,0.0,0.0,0.0,0.0,130.0,0.0,0.0,31.0,0.0,0.0,803.0,0.0,0.0,148.0,273.0,12,5.0,29.0,0.0,54.0,43.5,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,0.0,0.0,0.0,0,33.0,259.0,0.0,42.0,83,0.0,0.0,0.0,0.0,130.0,62.0,0.0,31.0,0.0,0.0,826.0,0.0,0.0,140.0,273.0,12,5.0,30.0,0.0,54.0,42.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,0.0,0.0,0.0,0,31.0,373.0,0.0,43.0,130,0.0,0.0,0.0,0.0,131.0,54.0,0.0,31.0,0.0,0.0,851.0,0.0,0.0,150.0,273.0,11,5.0,80.0,0.0,54.0,45.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,0.0,0.0,0.0,0,33.0,311.0,0.0,54.0,89,0.0,0.0,0.0,0.0,132.0,46.0,0.0,31.0,0.0,0.0,875.0,0.0,0.0,145.0,252.0,12,8.0,38.0,0.0,54.22222222222222,48.5,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1833,0.0,0.0,0.0,0,34.0,299.0,0.0,54.0,60,0.0,0.0,0.0,0.0,134.0,38.0,0.0,31.0,0.0,0.0,900.0,0.0,0.0,144.0,253.0,13,9.0,38.0,0.0,54.44444444444444,52.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1834,0.0,0.0,0.0,0,34.0,267.0,0.0,54.0,110,0.0,0.0,0.0,0.0,134.0,30.0,0.0,31.0,0.0,0.0,784.0,0.0,0.0,137.0,271.0,13,11.0,32.0,0.0,54.666666666666664,52.0,0.0,33.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,0.0,0.0,0.0,0,35.0,289.0,0.0,54.0,101,0.0,0.0,0.0,0.0,134.0,30.0,0.0,38.0,0.0,0.0,668.0,0.0,0.0,136.0,256.0,14,12.0,32.0,0.0,54.888888888888886,52.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1836,0.0,0.0,0.0,0,35.0,294.0,0.0,54.0,95,0.0,0.0,0.0,0.0,134.0,30.0,0.0,38.0,0.0,0.0,1020.0,0.0,0.0,143.0,281.0,17,9.0,32.0,0.0,55.111111111111114,52.0,0.0,41.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1837,0.0,0.0,0.0,0,30.0,307.0,0.0,54.0,89,0.0,0.0,0.0,0.0,134.0,46.0,0.0,38.0,0.0,0.0,574.0,0.0,0.0,143.0,306.0,22,11.0,43.0,0.0,55.333333333333336,52.0,0.0,39.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,0.0,0.0,0.0,0,36.0,304.0,0.0,54.0,84,0.0,0.0,0.0,0.0,165.0,48.0,0.0,38.0,0.0,0.0,570.0,0.0,0.0,155.0,332.0,18,12.0,32.0,0.0,55.55555555555556,52.0,0.0,37.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
