,alan jackson,chicago,bon jovi,ed sheeran,willie nelson,dj khaled,eric church,demi lovato,enya,shania twain,bob dylan,john denver,luther vandross,kendrick lamar,john mellencamp,lil nas x,miley cyrus,jay-z,post malone,fleetwood mac,miranda lambert,rihanna,2 pac,michael jackson,the beatles,polo g,phil collins,drake,fall out boy,harry styles,led zeppelin,a boogie wit da hoodie,foreigner,g-eazy,bee gees,simon & garfunkel,thomas rhett,ariana grande,motley crue,boston,kenny rogers,hootie & the blowfish,pearl jam,wiz khalifa,kodak black,michael bolton,jason aldean,meek mill,pink floyd,ac/dc,sam hunt,nicki minaj,mariah carey,mannheim steamroller,blake shelton,james taylor,future,the doors,tom petty & the heartbreakers,kanye west,jason derulo,bryson tiller,lil uzi vert,rae sremmurd,the chicks,cardi b,barry manilow,sam smith,florida georgia line,aerosmith,britney spears,bruno mars,santana,journey,carrie underwood,flo rida,linda ronstadt,the rolling stones,nirvana,meghan trainor,eric clapton,eagles,lil baby,bob seger & the silver bullet band,pitbull,u2,faith hill,zac brown band,elton john,metallica,dave matthews band,shawn mendes,reba mc entire,boyz ii men,kenny chesney,rush,maroon 5,queen,luke bryan,logic,lynyrd skynyrd,tim mcgraw,xxxtentacion,halsey,barbra streisand,steve miller band,the weeknd,whitney houston,lady gaga,n sync,morgan wallen,dababy,billy joel,train,madonna,travis scott,katy perry,billie eilish,backstreet boys,def leppard,chris brown,imagine dragons,big sean,kane brown,garth brooks,elvis presley,panic! at the disco,janet jackson,r. kelly,keith urban,creedence clearwater revival,guns n' roses,adele,alicia keys,alabama,ozzy osbourne,justin bieber,neil diamond,celine dion,taylor swift,beyonce,rod stewart,red hot chili peppers,lil wayne,kesha,lana del rey,jeremih,j. cole,twenty one pilots,khalid,george strait,linkin park,bruce springsteen,van halen,the chainsmokers,john mayer,frank sinatra,eminem,juice wrld
01/01/1969,0,555357.1429,0,0,0,0,0,0,0,0,273129.961,0,0,0,0,0,0,0,0,0,0,0,0,0,3284105.14,0,0,0,0,0,1064952.904,0,0,0,567567.5676,446520.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588529.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592307.6923,0,0,0,0,1441655.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108041.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042818.347,0,0,0,0,0,0,0,0,0,0,0,1010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277532.369,0,0
01/01/1970,0,1013953.055,0,0,0,0,0,0,0,0,1656258.305,0,0,0,0,0,0,0,0,0,0,0,0,0,8662905.94,0,0,0,0,0,2186248.398,0,0,0,342861.2945,2076524.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813978.4946,0,1390286.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784949.1902,0,0,0,0,798506.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242890.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546708.55,0,0,0,0,6418145.161,0,0,0,0,0,0,2106881.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025333.241,0,0
01/01/1971,0,734027.377,0,0,0,0,0,0,0,0,682861.207,1465886.234,0,0,0,0,0,0,0,0,0,0,0,0,1257639.5,0,0,0,0,0,960194.149,0,0,0,625374.2275,496765.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215374.242,0,1020123.906,0,0,0,0,0,0,0,0,0,532825.1783,0,0,0,0,836127.011,0,0,0,0,1045428.362,0,0,0,0,0,0,0,0,0,0,1898185.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259998.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674947.49,0,0,0,0,2992900.368,0,0,0,0,0,0,594937,0,0,0,1153041.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90258.924,0,0
01/01/1972,0,1340703.658,0,0,0,0,0,0,0,0,366421.318,621442.526,0,0,0,0,0,0,0,0,0,0,0,0,1295783.33,0,0,0,0,0,1570323.803,0,0,0,117675.419,4654749.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577234.505,0,557421.881,0,0,0,0,0,0,0,0,0,52012.1302,0,0,0,0,2177810.432,0,0,0,0,2131895.998,0,0,619585.6874,0,0,0,0,0,0,0,1046494.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472263.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895321.29,0,0,0,0,2142188.316,0,0,0,0,0,0,1865957.282,0,0,0,601941.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92996.449,0,0
01/01/1973,0,1233002.767,0,0,0,0,0,0,0,0,497457.184,1341006.214,0,0,0,0,0,0,0,0,0,0,0,0,4404171.39,0,0,0,0,0,1403562.902,0,0,0,124350.987,4182436.71,0,0,0,0,562800.9763,0,0,0,0,0,0,0,2196444.487,0,0,0,0,0,0,467278.44,0,93702.202,0,0,0,0,0,0,0,0,0,54962.708,0,0,0,0,2212680.043,0,0,0,0,2400011.89,0,0,225517.8907,0,0,0,0,0,0,0,1850730.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603031.658,754273.5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093247.66,0,0,0,0,760320.79,0,0,0,0,0,0,765659.623,0,0,0,398083.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98272.012,0,0
01/01/1974,0,1290304.222,0,0,0,0,0,0,0,0,1893664.545,3922618.692,0,0,0,0,0,0,0,0,0,0,0,0,2085548.66,0,0,0,0,0,1409337.783,0,0,0,135027.258,2891079.36,0,0,0,0,91496.8005,0,0,0,0,0,0,0,1173565.066,0,0,0,0,0,0,499768.317,0,101747.093,0,0,0,0,0,0,0,0,0,59681.5834,0,0,0,0,1088767.696,0,0,0,0,1103532.96,0,0,676922.8296,1774684.734,0,0,0,0,0,0,3448377.405,0,0,0,0,0,0,0,0,0,0,0,1169186.282,0,0,0,1361977.143,440227.5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649461.3,0,0,0,0,606454.53,0,0,0,0,0,0,1425528.986,0,0,0,217447.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106709.249,0,0
01/01/1975,0,1245101.048,0,0,0,0,0,0,0,0,991857.495,6650967.342,0,0,0,0,0,0,0,937301.5873,0,0,0,0,2257000.34,0,0,0,0,0,2698663.977,0,0,0,605860.283,2104252.79,0,0,0,0,118006.2763,0,0,0,0,0,0,0,920191.999,0,0,0,0,0,0,612109.411,0,131226.4,0,0,0,0,0,0,0,0,1613408.521,76973.1989,0,2549111.999,0,0,778395.292,0,0,0,1801313.724,1676612.91,0,0,112932.901,1460097.275,0,0,0,0,0,0,6651521.095,0,0,0,0,0,0,0,0,719387.7551,0,0,1045789.195,0,0,0,1229759.229,236085.972,0,0,0,0,0,0,540714.2857,0,0,0,0,0,0,0,0,0,0,0,0,803499.97,0,0,0,0,782163.31,0,0,0,0,0,0,526766.889,0,0,0,297495.51,0,0,0,0,0,0,0,0,0,0,595238.0952,0,0,0,137626.246,0,0
01/01/1976,0,3110822.491,0,0,712108.4422,0,0,0,0,0,1905436.759,3454877.55,0,0,0,0,0,0,0,2175250.627,0,0,0,0,3949855.97,0,0,0,0,0,10750677.87,0,0,0,1997354.497,1387885.28,0,0,0,1461038.961,164202.3126,0,0,0,0,0,0,0,1127624.979,0,0,0,0,0,0,1277674.258,0,182597.73,0,0,0,0,0,0,0,0,2248186.255,107105.9749,0,1979827.636,0,0,1181923.72,0,0,0,2027209.967,2096497.07,0,0,157142.857,5221538.459,0,799319.7279,0,0,0,0,5259809.71,0,0,0,0,0,0,0,0,1489361.981,0,0,1291977.955,0,0,0,1807996.035,1135459.973,0,0,0,0,0,0,259285.7143,0,0,0,0,0,0,0,0,0,0,0,0,1115175.21,0,0,0,0,418007.17,0,0,0,0,0,0,1778942.523,0,0,0,1731930.951,0,0,0,0,0,0,0,0,0,0,443223.4435,0,0,0,191069.779,0,0
01/01/1977,0,2114793.46,0,0,305871.611,0,0,0,0,0,461686.4,2457770.78,0,0,0,0,0,0,0,5287299.847,0,0,0,0,10886817.64,0,0,0,0,0,1534873.92,0,1412698.413,0,2851190.476,2493441.47,0,0,0,2827922.077,1275267.835,0,0,0,0,0,0,0,2367677.29,0,0,0,0,0,0,2245486.509,0,219066.974,0,0,0,0,0,0,0,0,2661067.148,128497.6641,0,2046842.202,0,0,1806835.002,0,0,0,2449936.61,1143348.34,0,0,188528.138,6945586.402,0,1788367.933,0,0,0,0,3181186.87,0,0,0,0,0,0,1627346.096,0,1805855.102,0,0,2266367.806,0,0,0,3617982.29,3217897.285,0,0,0,0,0,0,704821.4286,0,0,0,0,0,0,0,0,0,0,0,0,11219057.06,0,0,0,0,439445.58,0,0,0,0,0,0,2856510.07,0,0,0,1241593.989,0,0,0,0,0,0,0,0,0,0,583549.353,0,0,0,227332.333,0,0
01/01/1978,0,2223588.62,0,0,2529552.38,0,0,0,0,0,732690.84,2618844.48,0,0,0,0,0,0,0,1920057.317,0,0,0,0,1414611.99,0,0,0,0,0,1616757.36,0,4609854.175,0,7913675.213,3119809.33,0,0,0,2291548.01,2560026.07,0,0,0,0,0,0,0,910150.853,0,0,0,0,0,0,844441.472,0,230753.899,736764.7059,0,0,0,0,0,0,0,5042999.004,135352.84,0,2351289.825,0,0,1358228.94,1404861.111,0,0,2897536.419,4077643.02,0,0,2281998.72,2069638.61,0,2741932.49,0,0,0,0,2870770,0,0,0,0,0,0,750615.861,0,2767995.531,0,0,2612520.763,0,0,0,3741921.09,1294034.033,0,0,0,0,0,0,3730809.524,0,0,0,0,0,0,0,0,0,0,0,0,1870481.7,0,0,0,0,462889.41,0,0,0,0,0,0,2442389.94,0,0,0,2971644.876,0,0,0,0,0,0,0,0,0,0,1955485.465,1636000,0,0,239460.204,0,0
