,General Motors,Exxon Mobil,U.S. Steel,General Electric,Esmark,Chrysler,Armour,Gulf Oil,Mobil,DuPont,Bethlehem Steel,Ford Motor,AT&T Technologies,Texaco,Intl. Business Machines,ITT Industries,ChevronTexaco,Amoco,Atlantic Richfield,AT&T,Altria Group,Sears Roebuck,Wal-Mart Stores,Boeing,Citigroup,Enron,Verizon Communications,American Intl. Group,ConocoPhillips,Chevron,Bank of America Corp.,Hewlett-Packard,Valero Energy,J.P. Morgan Chase & Co.,Berkshire Hathaway,Fannie Mae,Apple,Phillips 66,CVS Health,Walmart,McKesson,UnitedHealth Group,Amazon.com,AmerisourceBergen,Alphabet,Costco Wholesale
1955,9823.5,5661.4,3250.4,2959.1,2510.8,2071.6,2056.1,1705.3,1703.6,1687.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,12443.3,6272.4,4097.7,3095.4,2404.1,3466.2,1967.7,,,1909.2,2096.6,5594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,10796.4,7126.9,4228.9,4090.0,2429.3,2676.3,,2339.7,2750.3,,,4647.0,2372.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,10989.8,7830.2,4413.8,4335.7,2542.2,3565.0,,2730.1,2976.1,,2603.7,5771.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9522.0,7543.6,3472.2,4120.8,2645.4,,,2769.4,2885.7,,,4130.3,2173.4,2327.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,11233.1,7910.7,3643.0,4349.5,2475.5,2643.0,,2713.0,3092.9,,,5356.9,,2678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,12736.0,8034.7,3698.5,4197.5,,3007.0,,2720.8,3178.1,,,5237.9,2640.4,2980.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,11395.9,8437.7,3301.7,4456.8,2489.0,,,2744.8,3321.2,,,6709.4,2607.3,3042.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,14640.2,9536.9,3468.8,4792.7,2494.6,,,2836.3,3933.3,,,8089.6,2761.6,3272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,16494.8,10264.3,3599.3,4918.7,,3505.3,,2977.9,4352.1,,,8742.5,2833.0,3415.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,16997.0,10814.7,4077.5,4941.4,,4287.3,,3174.3,4499.4,,,9670.8,,3573.8,3239.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,20734.0,11471.5,4399.6,6213.6,,5299.9,,3384.7,4907.5,,,11536.8,,3779.4,3572.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,20208.5,12191.4,4355.4,7177.3,,5649.5,,3781.8,5253.9,,,12240.0,,4427.3,4247.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,20026.3,13266.0,4005.5,7741.2,,6213.4,,4202.1,5771.8,,,10515.7,,5121.4,5345.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,22755.4,14091.3,4536.7,8381.6,,7445.3,,4558.5,6221.0,,,14075.1,,5459.8,6888.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,24295.1,14929.8,,8448.0,,7052.2,,4953.3,6621.4,,,14755.6,,5867.9,7197.3,5474.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,18752.4,16554.2,,8726.7,,6999.7,,,7260.5,,,14979.9,5856.2,6349.8,7504.0,6364.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,28263.9,18700.6,,9425.3,,7999.3,,,8243.0,,,16433.0,6045.2,7529.1,8273.6,7345.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,30435.2,20309.8,,10239.5,,9759.1,,,9166.3,,,20194.4,6551.2,8693.0,9532.6,8556.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,35798.3,25724.3,,11575.3,,11774.4,,8417.0,11390.1,,,23015.1,,11406.9,10993.2,10183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,31549.5,42061.3,,13413.1,,,,16458.0,18929.0,,,23620.6,,23255.5,12675.3,11154.4,17191.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,35724.9,44864.8,,13399.1,,11699.3,,14268.0,20620.4,,,24009.1,,24507.5,14436.5,,16822.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,47181.0,48630.8,,15697.3,,15537.8,,16451.0,26062.6,,,28839.6,,26451.9,16304.3,,19434.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,54961.3,54126.2,,17518.6,,16708.3,,17840.0,32125.8,,,37841.5,,27920.5,18133.2,,20917.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,63221.1,60334.5,,19653.8,,16340.7,,18069.0,34736.0,,,42784.1,,28607.5,21076.1,,23232.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,66311.2,79106.5,,22460.6,,,,23910.0,44720.9,,,43513.7,,38350.4,22862.8,,29947.6,18610.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,57728.5,103142.8,,24959.0,,,,26483.0,59510.0,,,37085.5,,51195.8,26213.0,,40479.0,26133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,62698.5,108107.7,,,,,,28252.0,64488.0,,,38247.1,,57628.0,29070.0,,44224.0,29947.0,27797.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,60025.6,97172.5,,,,,,28427.0,59946.0,33331.0,,37067.2,,46986.0,34364.0,,34362.0,28073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
